"","id","job","nwords"
"142",142,"DevOps / BUILD AND RELEASE ENGINEER Outerwall Inc ",7
"143",143,"Javascript Engineer Free Code Camp Coded javascript curriculum that is",10
"144",144,"Java Consultant Egencia ",3
"145",145,"Research Assistant Central Michigan University ",5
"146",146,"senior UI Developer Schneider Electric ",5
"147",147,"RESESS Intern UNAVCO Inc ",4
"148",148,"Senior Java Consultant VISA ",4
"149",149,"senior Java FrontEnd Web/UI Developer ravelport ",7
"150",150,"senior Java Developer Paychex ",4
"151",151,"Software Developer Expert solution ",4
"152",152,"QA Automation Engineer SPA Instruments Pvt. Ltd ",7
"153",153,"Senior Java/ J2EE developer Liberty Mutual ",6
"154",154,"Software Engineer INEL SECURIY ",4
"155",155,"Java Apprentice he Software Guild  Java Language Fundamentals ",8
"156",156,"Sr Java Developer Interactive communications ",5
"157",157,"seniorJava Developer / Lead Consultant Northern rust Company USA ",8
"158",158,"Research Assistant Northern Arizona University ",5
"159",159,"Java/J2EE Developer BCBSA ",4
"160",160,"senior Java/ J2EE Developer exas Workforce Commission ",7
"161",161,"Apprentissage du langage Python soci√t√ Capitole",6
"162",162,"Vice President of Programming and ritual for Alpha Sigma Alpha",10
"163",163,"senior Java/J2EE Developer West Corporation ",6
"164",164,"Consultant Velexi Corporation  Utilizing data modeling and clustering techniques to",10
"166",166,"Instructor and Designer Build It ",5
"167",167,"Lead Linux Engineer LO ",4
"168",168,"Software Developer Intern Advicent ",4
"169",169,"Python Development Internship NUANCE COMMUNICAIONS, Inc Project: Analyzed map data",10
"170",170,"Research Assistant University of Florida v Designed and implemented custom",10
"171",171,"Data Structures Coursework : Data Structures/Algorithms in Python University of",10
"172",172,"Recruiting Consultant Indeed ",3
"173",173,"Java/J2EE/UI Developer A& ",5
"174",174,"Python Developer ",2
"175",175,"V&V and Automation in esting Aerospace",7
"176",176,"Java Developer General Motors ",4
"177",177,"Junior Web Developer International echnological University ",6
"178",178,"Java/J2EE Developer Verizon ",4
"179",179,"Python/Django Developer Key Bank ",5
"180",180,"Software Systems Engineer Independence Blue Cross ",6
"181",181,"Staff software engineer Lockheed Martin ",5
"182",182,"Python Web Project Personal Blog (https://nealwang.herokuapp.com/) Responsibilities",10
"183",183,"Research Assistant Worcester Polytechnic Institute ",5
"184",184,"eam Lead ",2
"185",185,"Java J2EE Developer Persistent Systems Ltd., , NY Project Description: Group",10
"186",186,"Physics eacher Assistant and tutor DALLAS BAPIS UNIVERSIY ",8
"187",187,"Full Stack Python Developer G&G OutAtters in Lanham ",9
"188",188,"est Engineer Synnex ",3
"189",189,"senior Java/J2EE Developer Citigroup Inc ",6
"190",190,"echnician Engineering Area, Production Operator II Micron Puerto Rico, Inc",10
"191",191,"Senior QA Engineer Rioseo ",4
"192",192,"Production Support ",2
"193",193,"Software Engineer Anacle Systems Pte Ltd ",6
"194",194,"Graduate Research & eaching Assistant KANSAS SAE UNIVERSIY ",7
"195",195,"Web Application Developer PostgreSQL Manheim Global rader†† echnologies used:† PHP",10
"196",196,"eaching Assistant University of Massachusetts Amherst ",6
"197",197,"Java Developer Strategic Support Corporation, Inc. & Method echnology Solutions ",9
"198",198,"Software Developer Legion Labs ",4
"199",199,"Embedded Engineering Intern DornerWorks Ltd ",5
"200",200,"Programmer Kestrel Management Services LLC ",5
"201",201,"Java / J2EE Developer OCIO, State ",5
"202",202,"Software Engineer Mformation Software echnlogies India Pvt Ltd ",8
"203",203,"Python developer Arizona State University Mars Curiosity Project under Prof",10
"204",204,"Java UI/SQL Developer Blue Cross Blue Shield ",8
"205",205,"JAVA utor InstaEDU Online utoring Company ",6
"206",206,"Java Developer Cigna Health Insurance ",5
"207",207,"Software QA Engineer ConnectedIO ",4
"208",208,"Oracle Certified Professional Java SE 6 Programmer GRE 317/340",10
"209",209,"echnical Lead IGAE echnologies Inc Responsibilities† Lead the Onsite QA",10
"210",210,"Java Developer Auxis Inc ",4
"211",211,"Data Analyst Risk echnologies Bank of America† Validated equity derivatives",10
"212",212,"Python Developer Pivotal Labs ",4
"213",213,"Software Quality Engineer at Oracle, CA MOKO and Python pylom",10
"214",214,"Software ester United I advantages www.wedyoda.com†Wedyoda is",10
"215",215,"seniorQA Automation Engineer Cigna Healthcare ",5
"216",216,"Sr Java/J2EE Hybris Developer anisha Systems Inc. ",8
"217",217,"JAVA/J2EE Portal & SOA Developer A& ",6
"218",218,"Mobile Software test and Development engineer at Motorola MOOROLA MOBILIY",10
"219",219,"Software Development Engineer in est II Akamai echnologies India Developed",10
"220",220,"Software Developer Baker Hughes ",4
"221",221,"Sr Java Developer CVS Health ",5
"222",222,"Java/J2EE Developer Freddie Mac ",5
"223",223,"Developed helper Consortium",3
"224",224,"Hadoop Developer Xerox Corporation ",4
"225",225,"seniorJava & J2EE Developer E2open, Inc. ",5
"226",226,"Business Analyst Intern Ericsson Inc ",5
"227",227,"Senior Systems Engineer Infosys Limited ",5
"228",228,"Marketing Certification Python, C 2015† Math: pre",7
"229",229,"Software Developer, Python developer La Colonia Medical Centers ",8
"230",230,"Data entry and processing homas Computer Solutions Data analysis††Relevant",10
"231",231,"Sales Associate Salt Lake City, U 84102 Microsoft Office suite",10
"232",232,"Scientist, python programming Northern Illinois University/Argonne National Laboratory ",9
"233",233,"Inpatient Unit 15 & Administrative Coordination Support Rehab Programming New York",10
"234",234,"Software Engineer Cognitive Medical Systems echnologies/Standards used: HL7v2, FHIR",10
"236",236,"CIO, Architect and I Operations 1 Alliance CPS Week",9
"237",237,"QA/BA/Dev Lead InCapture Hedge Fund Analyze & Convert Business",10
"238",238,"Java/J2EE Developer UNCV ",4
"239",239,"Sr Java Developer Pathfinder Development ",5
"240",240,"Research Assistant Collaborative echnology Laboratory  Research assistant to an interdisciplinary",10
"241",241,"Metallurgist Freeport",2
"242",242,"Discrimination de diff√rents niveaux de charge de m√moire par spectroscopie",10
"243",243,"Research Assistant on Artificial Intelligence East Carolina University ",8
"244",244,"Internship Owen Software ",3
"245",245,"PYHON DEVELOPER SEPA BUS LOCAOR ",5
"246",246,"CLOUD ENGINEER PYHON ADV SOLUIONS†Python and Cloud development engineer",10
"247",247,"Undergraduate Computer Science Lead A College of Science and Engineering",10
"248",248,"D√veloppeur Python Institut de recherche Xlim",6
"249",249,"est Engineer Intern Prodea Systems ",5
"250",250,"Python Developer Verizon ",3
"251",251,"UI Developer Barclays ",3
"252",252,"Webmaster HockeyStandings.info ",3
"253",253,"Senior Mobile ANALYS Here ",4
"254",254,"Babysitting Entreprise familiale ",3
"255",255,"echnicien d'exploitation informatique CERI ",5
"256",256,"QA Engineer (part",3
"257",257,"SAP HCM echnical Lead SAP HCM, FI, EL Ad Initio",10
"258",258,"echnical Officer Ardeo Jewelry LLC Created and implemented website functionality",10
"259",259,"Software Engineer Manech ",3
"260",260,"Java Architect Global Bank ",4
"261",261,"senior Java/J2EE Developer General Electric ",6
"262",262,"senior Java/J2EE Developer Cerner ",5
"263",263,"JAVA/J2EE/Drools Developer Mayo Clinic ",6
"264",264,"Java Developer Hewlett",3
"265",265,"Java Developer Zensar echnologies Ltd Project: WebSite Redesign (WSR) Client",10
"266",266,"Python Developer Bank Of America Liquidity Risk Management Domain Project",10
"267",267,"Senior Android Developer Verizon ",4
"268",268,"Python/Hadoop/Spark Developer Cisco ",5
"269",269,"Painter Python ",2
"270",270,"Senior Java Developer Bank of New York Mellon ",8
"271",271,"SOFWARE DEVELOPER Verisage ",3
"272",272,"Desktop echnician Self Employed ",4
"273",273,"GIS Intern City of Lansing ",5
"274",274,"Python Developer Cisco ",3
"275",275,"Remote Software Developer SERVOY Responsibilities:† Program business logic for Servoy",10
"276",276,"Programming Lang. utor Sacramento City College ",6
"277",277,"PRODUC MANAGEMEN / SALES ENGINEERING IMPLEMENAIONS ",5
"278",278,"D√veloppeur Java/Python Owingo ",4
"279",279,"Senior PHP Developer Express pros, Oklahoma Responsibilities:† Implemented AJAX and",10
"280",280,"Python/Javascript Senior Applications Developer Cloud Sherpas ",7
"281",281,"Ing√nieur D√veloppeur Python / Django Jurismarches ",5
"282",282,"Developpeur Web ",2
"283",283,"IO Engineering Consultant Fortech Energy Inc., ",6
"284",284,"Research Intern Metropia ",3
"285",285,"Model Validation Analyst Citi ",4
"286",286,"senior Software QA ester MERO PCS COMMUNICAION ",7
"287",287,"esting Consultant ContactMyDoc Description: ContactMyDoc.com is an online marketplace",10
"288",288,"senior Java Developer UnitedHealth Group ",5
"289",289,"Software Developer JPMC IB rading Account Data Maintenance ",8
"290",290,"Data Analyst, Back",3
"291",291,"Operations Engineer at Google Adecco Engineering & echnology  roubleshooted, maintained and",10
"292",292,"QA echnical Lead SSS and Data echnical Environment: Informatica 9",10
"293",293,"Senior Java Developer CS I am working for he Home",10
"294",294,"Senior Java Developer StateStreet ",4
"295",295,"Java Developer/ Onsite Coordinator ZoomCare Project: EMR (Electronic Medical Records",10
"296",296,"Java Developer Juniper Networks ",4
"297",297,"Java Consultant Mindteck Pte Ltd ",5
"298",298,"Development eam Coordinator ActiveOrigins Responsible for working on a range",10
"299",299,"Big Data Advanced Analytics Consultant Citigroup  Led the development of",10
"300",300,"Java Backend Developer LOWE's ",5
"301",301,"senior Java/J2ee Programmer Analyst PG&E",7
"302",302,"Arduino and Raspberry PI Lab Intern Mathobotix ",7
"303",303,"Mechanical Systems Engineer hermal  Delivered design collaterals and performed system",10
"304",304,"Linux Administrator Liberty Mutual Insurance Group ",6
"305",305,"Linux Administrator Liberty Mutual Insurance Group ",6
"306",306,"Adjunct Instructor ACADEMIC INVOLVEMENS Working as an instructor in the",10
"307",307,"Java Developer Cablevision ",3
"308",308,"senior Java Developer/Lead Verizon Wireless Device Analytics†Main objective",10
"309",309,"New York University eaching Assistant Department of Computer Science Python",10
"310",310,"Java Developer Chicago Mercantile Exchange , Chicago ",6
"311",311,"Java/ J2EE developer Computer Associates ",5
"312",312,"eaching Assistant, Dept. of Computer Science University of Delaware Assisted",10
"313",313,"Quality Assurance Engineer rimble Navigation Ltd ",6
"314",314,"Software Engineer Liquid Analytics ",4
"315",315,"senior WebSphere Administrator Kaiser ",4
"316",316,"Senior Java/J2EE Developer Verizon echnology: JAVA, Servlets, Oracle, PL",10
"317",317,"Java Developer Private ",3
"318",318,"senior Java Developer oyota Motor Manufacturing ",6
"319",319,"Java Developer Fusemachines ",3
"320",320,"Senior echnical Associate Bank of America Merrill Lynch ",8
"321",321,"Program Analyst / Data Science CALIBRE ",5
"322",322,"senior Java Developer Verizon ",4
"323",323,"eaching Assistant SEM Fellowship ",4
"324",324,"Developer (Freelance) Simple Verity ",4
"325",325,"Senior Software Engineer(Analytics eam) PointInside ",6
"326",326,"Java/J2ee Developer Wells Fargo ",5
"327",327,"Sr Java/J2EE ",3
"328",328,"Sr Java/J2EE ",3
"329",329,"Business Analyst Orane Consulting Private Ltd ",6
"330",330,"Senior Software Engineer (Experienced in WebSphere Portal, Java technologies) Cognizant",10
"331",331,"Java/Web Developer IBM ",4
"332",332,"senior echnical Consultant ASPA Inc Deploy and support Redhat/Centos",10
"333",333,"Python developer Frost National Bank ",5
"334",334,"Forklift Operator ejas ubular ",4
"336",336,"Information echnologies Manager Hill ire Company Daily Responsibilities:† Oversee technical",10
"337",337,"Linux Support Engineer Webfaction ",4
"338",338,"Research Associate University of Colorado Boulder ",6
"339",339,"Python/Django Developer U Southwestern Medical Center ",7
"340",340,"Data Analyst Intern Carbon Credit Capital ",6
"341",341,"Software Engineer ANGEL ECHNOLOGY AUO SERVICES (Startup) ",7
"342",342,"management. (Java) Library Management System 10/2014",7
"343",343,"WOLFE DIVERSIFIED, LLC COMMERCE & APPLICAION DEVELOPMEN MANAGER Fluffy Cloud Consulting",10
"344",344,"Analyst Economic, Financial, and Strategic Consulting ",6
"345",345,"Java/JDK, Python, Assembleur Framework ANGO MySQL, Visual Basic, Pascal",10
"346",346,"Data Scientist CenturyLink Communications  Built a QlikView application that integrated",10
"347",347,"SOLUIONS ENGINEER/PERSONAL ECHNOLOGY EXPER SUPPOR.COM, INC ",8
"348",348,"Researcher UNIVERSIY A ALBANY CHEMISRY DEPARMEN ",6
"349",349,"Senior Java Application Developer JP Morgan Chase Project 1: Gauss",10
"350",350,"Software Developer Intern Rackspace, the #1 managed cloud company ",9
"351",351,"Java Developer Gymboree ",3
"352",352,"Java/J2EE Developer Freddie Mac ",5
"353",353,"Senior Java Developer United Guaranty Project Description:†he aim of",10
"354",354,"Member of echnical Staff Hughes Network Systems ",7
"355",355,"Java Developer EMC CORPORAION, South Borough EMC Corporation is an",10
"356",356,"senior Java echnical Lead Sutter Health ",6
"357",357,"Senior Java Developer UNISYS, Minnesota LMS NG ",7
"358",358,"Jr. Developer Porch ",3
"359",359,"senior Java/J2EE Developer Simpleray ",5
"360",360,"Research Assistant Central Michigan University ",5
"361",361,"Sr Java Developer oyota Motor Sales ",6
"362",362,"Lead Java Developer Hilton Worldwide Inc ",6
"363",363,"CDR Support Engineer/Developer angoe, Inc Duties include:†Developed python",10
"364",364,"BigData Consultant REAIL ANALYICS ",4
"365",365,"senior Java Developer Barclays ",4
"366",366,"Senior DataStage Developer Sephora Inc Sephora's unique, open",9
"367",367,"senior Java/ UI Developer Minacs ",5
"368",368,"senior Java Developer Freddie Mac ",5
"369",369,"Finite Element Analyst Atrium Medical Corp ",6
"370",370,"Software QA est Engineer FinancialForce ",5
"371",371,"Java/J2EE Developer Payless ShoeSource ",5
"372",372,"Analog Engineer Intel Corporation  Worked on a variety of validation",10
"373",373,"SENIOR SYSEM'S ENGINEER Infosys Ltd  Developed a front end",10
"374",374,"Research Assistant UCSB Earth Research Institute  Performed statistical analysis on",10
"375",375,"senior Python Developer BOSON MEDICAL CENER ",6
"376",376,"senior Python Developer BOSON MEDICAL CENER ",6
"377",377,"Summer Intern Jet Propulsion Laboratory ",5
"378",378,"senior Java/J2EE Developer Dell Inc ",6
"379",379,"senior Java Developer Actavis ",4
"380",380,"Javascript Engineer EPAM Empathy Lab ",5
"381",381,"Java Developer Lowe's ",4
"382",382,"Senior Java Developer he Home Depot ",6
"383",383,"senior DevOps / Infrastructure Engineer Scholastic Inc ",6
"384",384,"Senior Java/J2EE Developer American Express ",6
"385",385,"Business Intelligence Engineer Zillow Groups Responsible for setting up the",10
"386",386,"Sr DevOps Engineer American Family ",5
"387",387,"Quality Assurance Engineer Daegis Inc ",5
"389",389,"Software Engineering Analyst Accenture Services Pvt. Ltd Domain: Finance and",10
"390",390,"Java/J2EE Developer Efocus",4
"391",391,"Software Developer (Freelancer, Python) Self",5
"392",392,"Software Engineer Intern (Core Java, Python) Cisco Systems, Inc ",9
"393",393,"UI Developer Citizen's bank ",5
"394",394,"Software Engineer Intern Welch Allyn  Wrote a Linux device driver",10
"395",395,"senior Java Consultant Pfizer ",4
"396",396,"senior Java Developer Supreme Court of Virginia ",7
"397",397,"Image Quality Engineering Intern ON Semiconductor ",6
"398",398,"Java Developer State Street ",4
"399",399,"Senior Java/J2EE developer State of WISCONSIN ",7
"400",400,"Sr Java Developer A& ",4
"401",401,"Research Project Rutgers, he State University of New Jersey ",9
"402",402,"senior Java Developer Bank of America ",6
"403",403,"Application Programmer at the Miller Research Lab Institute of Genetic",10
"404",404,"Java/UI Developer GlaxoSmithKline ",4
"405",405,"Statistical Business Analyst Zappos.com, Inc ",6
"406",406,"Expert Python et relecteur technique Packt Publishing ",7
"407",407,"Jr.JAVA DEVELOPER BANK OF AMERICA ",6
"408",408,"Software Engineer Salesfusion Inc ",4
"409",409,"Python Developer Fox Interactive ",4
"410",410,"Senior Lead Java Developer JOHN DEERE ",6
"411",411,"Java/J2EE Developer Mayo Clinic ",5
"412",412,"Java Developer Key Bank ",4
"413",413,"Software Development / Java Programmer JLG Industries ",6
"414",414,"senior Java Developer Lafayette General Health ",6
"415",415,"Research Assistant in Computational Astrophysics Farmingdale State College Investigate magnetic",10
"416",416,"Data Analyst and Software Developer Massachusetts Institute of echnology ",9
"417",417,"CONSULAN Fusion Alliance ",3
"418",418,"Java developer / I Consultant My Computer service ",7
"419",419,"Data Analyst Dominion Enterprises ",4
"420",420,"Application Developer Demere.co ",4
"421",421,"Java Developer AAS ",3
"422",422,"Senior Design Project Orpheus Brewing ",5
"423",423,"Software Engineering Intern Vaultive ",4
"424",424,"Java Web Developer Acenonyx ",4
"425",425,"CAE Analyst (Finite Element Analyst) Cook Research Inc Design and",10
"426",426,"Python Developer New York Life Insurance ",6
"427",427,"JavaScript Developer ADP ",3
"428",428,"Software Engineer (Python) Sonobi ",4
"429",429,"II or QA Assurance Analyst Design Validation Engineering Spec ",9
"430",430,"Web Developer University of Pittsburgh Greensburg Campus  Developed responsive front",10
"431",431,"Visiting Researcher / Collaborator Stanford University Responsibilities†Stanford Crowd Research Collective",10
"432",432,"senior Java Developer CACI provide full life cycle development to",10
"433",433,"Blackboard Internship Database Security encryption and working on encrypted data",10
"434",434,"Shop Foreman Python Corp. ",4
"435",435,"senior Java Developer ime Warner Cable, VA Identity Management System",10
"436",436,"Assistant manager Java detour ",4
"437",437,"Customer Service Representive/Software manager Super Heroes Unlimited  Organized and",10
"438",438,"eam Leader Columbia University ",4
"439",439,"senior Java/J2EE Developer Cerner Corporation ",6
"440",440,"Java Developer Regenstrief Institute, Inc. Responsibilities†",6
"441",441,"Blender, Photoshop Autodesk Maya  SEO(search engine optimization), Server† Understand",10
"442",442,"Java/J2EE developer State of Michigan ",6
"443",443,"JAVA rainee 3S Business Corporation ",5
"444",444,"Senior Engineer Reservoir Labs  Documented standard Linux deployment configuration and",10
"445",445,"GIS Intern he Nature Conservancy Colorado ",6
"446",446,"Programmer Analyst NicheVision, Inc ",4
"447",447,"senior J2EE Developer Equifax ",4
"448",448,"Senior Business Analyst AIG Financial Network ",6
"449",449,"Python Developer (Contractor) Robert Half echnology ",6
"450",450,"Financial Analyst (temporary) Sony Music Entertainment ",6
"451",451,"ools developer Brocade Communications ",4
"452",452,"Staff Engineer, Mechanical Design Western Digital, Hard Drive Division ",9
"453",453,"Seismic Hazard Modeller Global Earthquake Model (GEM) Foundation ",8
"454",454,"ESB Architect Blue Shield Of California ",6
"455",455,"Software Engineer Symbiont ",3
"456",456,"SQL Server, Oracle, Vertica, Python Developer HighPoint Solutions ",8
"457",457,"eaching Assistant New York University ",5
"458",458,"eaching Assistant in the Department of Computer Science University of",10
"459",459,"Front End UI Developer MAEL INC ",6
"460",460,"senior Java Developer Cablevision Systems Corporation ",6
"461",461,"DevOps / BUILD AND RELEASE ENGINEER Wilbur Ellis ",7
"462",462,"Senior Linux/elecom Developer Healthways Inc  Linux engineering, installation, maintaining",10
"463",463,"est Development Engineer I, Contract SanDisk (West Valley Engineering) ",9
"464",464,"SW Principal Engineer GENERAL DYNAMICS MISSION SYSEMS Led the Build",10
"465",465,"Python Programmer Boundary Solutions ",4
"466",466,"Software Engineer Grey Ocean Analytics ",5
"467",467,"Java developer Comcast ",3
"468",468,"Java/J2EE Developer Department of Health Care Services ",8
"469",469,"senior Java/J2EE Developer Barclays ",5
"470",470,"Datavan Operator Python Pressure Pumping ",5
"471",471,"Senior Java J2EE Developer Broadridge Financial Solutions Inc Project itle",10
"472",472,"Linux Systems Engineer Linux Professional raining Duties as needed, but",10
"473",473,"Java Developer First Republic Bank FRB is one of the",10
"474",474,"Software ester Dish Network L.L.C USA†Database: eradata",10
"475",475,"Recently completed Cloudera Hadoop Analyst training Data Mining aking time",10
"476",476,"Personality Insights Analyzer Personal Project Created a web application that",10
"477",477,"Java Developer Buffalo, NY Responsibilities:† Developed the Web Based Rich",10
"478",478,"Software Developer NJ  Full stack development.† Develop using python for",10
"479",479,"eam Leader, Python/Django Developer CareDay ",6
"480",480,"eaching Assistant College of echnology  eaching includes NI LabVIEW for",10
"481",481,"Cal State San Marcos Help Desk San Marcos, CA  Student",10
