accenture
accriva diagnostics
finra
firestone diversified
firetech
first republic
florida blue
florida state
flowershop network
flts
fluffy cloud
"forman mills,"
forsythe solutions
fortã© group
fortech energy
fox interactive
"frazer computing,"
freddie mac
frederic printing
free code
freelance
freelancing
freelancing shoply
fresenius medical
frost national
function by
"funeral services,"
fusemachines
fusion alliance
g&g outatters
g2 software
gainspan(iot)
gallant lab
galvanize
gannett
gannon university
geico built
general dynamics
general electric
general motors
genesis healthcare
genscape
geographic information
geoprocessing team
geospatial sciences
glaxosmithkline
global bank
global traffic
globalfoundries manage
glogou inc.
google
gorkana group
gt world
guardian
guide one
guideone insurance
gulfstream aerospace
gymboree
h&m
halliburton/landmark the
harley davidson-wi
harpercollins publishers
hartford financial
hartford insurance
hcentive
hcl technologies
health port
healthways
healthways inc
hewlett-packard
hewlett packard
high performance
highpoint solutions
hill tire
hilton worldwide
hisna
hm health
home depot
honeywell
hospira inc
hp
hp moonshot
hp test
hsbc
"hsbc, greensboro"
huaat data
human capital
hyatt corporation
hydrotex architect
hyundai america
i ixia
"i, contract"
ibm
icd technology
icmarc
ifs r&d
ignite management
ii ericsson
ii global
ii microsoft
ii rart
ii raytheon
ii sandisk
ii tampa
ii volcano
"ii, qos"
illinois institute
imagine communication/rgbnetworks
imagine it
"imatchative startup,"
income dynamics
indeed
independence blue
independent contractor
infinite computer
"infinite conferencing,"
infinity insurance
"infogix, inc"
informatique conception
infosense services
infosys
infosys limited
infosys ltd
ingenu
"innova solutions,"
innovatis tech
innutra inc
inquest technologies
insight enterprises
insour sys
institute for
"institute of insight,"
instructor and
integnology corporation
intel-silicon photonics
intel corporation
intel security
interactive communications
"interconex, inc"
intercontinental exchange
intercontinental hotels
interface people
intermountain health
intersect group
"intersections, chantilly,"
intersog software
"intwine connection,"
invista
ipt cdr
"j.crew group,"
j5 systems
jacobs engineering
java crew
javelin capital
jhhl.net
jlg industries
john deere
"johnson controls,"
jp morgan
jpmc ib
jpmorgan chase
jpmorganchase
juniper networks
kaarya llc
kaiser
kaiser permanente
kestrel management
key bank
keyingredient
kfg
khodro azma
kms solutions
kyruus/ stowe
l.l.bean
la colonia
lafayette general
lamar university
lasth corp
latentview analytics
lattice semiconductor
leap frog
learning experience
learning express
legion labs
leidos
lenderlive responsible
lendingtree
lexmark
liberty mutual
"liberty mutual,"
life lock
life technology
linbis
lincoln financial
linux professional
liquid analytics
lithium
"lithiumstart, inc"
lmg capital
lockheed martin
los alamos
lowe's
lowes
"ls research,"
luzene
macy's systems
manhattan associates
mantech
map communications
market day
marketsharp software
martin sprocket
marys enterprise
mattel inc
"maxlinear, inc"
mayo clinic
mckesson
mckesson duties:
mcm services
mdlive inc
mechaenginerring solution
mediamorph
medios e
medtronic
megaputer intelligence
mentor qiurong
mercury
"merrill lynch,"
mesowest
method to
metro pcs
"mexicoder, inc"
mformation software
miami rebel
michigan state
micron technology
microsoft
"microsoft corporation,"
minacs
mind tree
mindteck pte
minerva engineering
minneapolis-based target
minot state
mobiquity
mobitv
modern engineering
morgan stanley
motion welder
motorola mobility
movie trailer
mvc architecture
mylan
"mysql, sql €¢"
nanodegree program
national foreign
national geographic
national institute
nationwide insurance
nativo
neoteryx
netapp
netflix
networking coursework. wrote
newscred
newtech s.r.l
nexidia
next phase
"nextern, inc"
nexxtep
nike
njt €¢
nokia
nokia siemens
nordstrom
northeastern university
northern arizona
northern natural
northrop grumman
northwestern polytechnic
nsg technology
ntt communications
nuance
"nuance communications,"
nwa media
nxt-id
ny dep
nytimes
oasis technologies
oat checkpoint
office of attorney
onondaga county
opus inspection
orane consulting
"otak, inc"
otsuka us
otter products
outbox technology
outerwall inc
owen software
oxagile
pacific gas
pagefair limited
pakedge device
paratus llc
partners healthcare
pathfinder development
pathfinder energy
paychex
paychex inc
payless shoesource
persistent systems
pfizer
pg&e the
phelps dodge
pieriandx
pinnacle group
pivotal labs
pnc bank
ponomusic
porch
portnov computer
prime international
private -bank
procter & gamble
professor department
programmer university
proton therapy
providence software
psiber hris
ptc
pure storage
pyrotech engineers
qa lead
qa101 consulting
qilu security
qualcomm
qualcomm connected
quantum spatial
quicken loans
quixey
rackspace us
raytheon
razorfish health
rbc financial
red hat
redbrick health
reddicktech
"regenstrief institute,"
"reingold, inc."
"repiscore, inc"
replicon software
republic services
reservoir labs
retail analytics
revolveclothing
ring0 technologies
rioseo
risk technologies
rj lee
rochester institute
rocket fuel
rockwell automation
rolls-royce
royal bank
rr donnelley
rushcard
"rutgers university,"
"rutgers, the"
"safeguard properties,"
salesfusion inc
samsung electronics
samsung india
samsung research
"samsung, nj"
san antonio
san diego university
sap bi
sap labs
sathya technologies
schlumberger
schneider electric
scholastic inc
school of education
sciquest
seagate llc
searchforce inc.
selective insurance
self-employed
self employed
sephora inc
septa bus
service control
servoy responsibilities: €¢
shapiro +
sharp laboratories
shoppable
silvics solutions
simpleray
sing -post
sirius computer
sirius xm
six stars
sky touch
sleepy's corporate
sonata services
sony mobile
soochow securities
soongsil university
south eugene
south texas
"southwest airlines,"
sp richards
spa instruments
sparefoot
speed commerce
spirent
spoton.com
sprint nextel
sprint tele
sprint/alcatel-lucent/gta explored
sr freddie
"sra international,"
st microelectronics
st. edward's
stanfield systems
stanford institute
stanford university
stanley black
state of michigan
state of north
state of tx
state of wisconsin
state street
statestreet
stem fellowship
stevens institute
stirplate
storiant
strategic support
sun edison
suntrust bank
supercare
supervalu inc
supreme court
surgical tools
symbiont
synnex
syntel
syntel inc
sysomos inc
"t-mobile usa,"
talentburst/sapient
tangome
tanisha systems
tata consultancy
tcl research
te connectivity
tech mahindra
tech rocket
techmahindra americas
techmahindra ltd
technical assistant
tektak pvt.
teledyne technologies
teltronics inc
"teneducation, rightcloudz"
terrorism august
test technician
texas integrated
texas workforce
tg mercer
thirdchannel digital
thompson lab
thomson reuters
time warner
tivo inc
tmg health
tmx finance
tompkins tennis
touro
towers watson
toyota motor
toysrus
trade financial
transamerica corporation
translational genomics
travelport
tri-star engineering
"triad isotopes,"
tribune company
trimble navigation
truebud
trustwave holdings
"trustwave holdings,"
ttm technologies
tuatara oversee
turnberry solutions
tutor new
u.s securities
u.s. naval
ucsb earth
ucsf sabes
ufs technologies
unc charlotte
unctv
unisys
united guaranty
united health
united it
united services
unitedhealth group
univ. of california
university activities: best research
"university of cambridge,"
university of central
university of colorado
university of florida
university of houston
"university of houston,"
university of iowa
university of maryland
university of massachusetts
university of michigan
university of montreal
university of north
university of pittsburgh
university of rhode
university of texas
university of toledo
university of utah
university of washington
upmc company
uprev
"upsilon it,"
upward automation
us army
us securities
using roundup.
ut southwestern
v5 systems
va richmond
value options
vanco payment
vanderbilt university
velexi corporation
ventyx
verdante bioenergy
verisage
verizon
versify solutions
visa
visa inc
vision technology
visteon corporation
voicebox technologies
walmart
walt disney
waston innovations
wayne state
webfaction
website pipeline
"weehawken, nj"
welcome aboard
wellington management
wells fargo
"wells fargo,"
wesgrow software
west corporation
western digital
wicked analytics
wilbur ellis
"wilmington, de"
wipro accuen
with cftc
wolters kluwer
worcester polytechnic
worker marshall
workforce software
"worldquant, llc."
www.maslennikov.us
www.x-cd.com completely
wyncode academy
xerox corporation
xiquant inc
xlhybrids
xmx solutions
you-gene
"zappos, nv"
"zappos.com, inc"
zaran tech
"zcrowd, inc"
zenefits
zensar technologies
zhreo
zillow groups
zion tech
credorax group
s3 group 
intel
airbus
consortium-iv
prodea systems
fishers
