"","id","job"
"11",11,"Sr. Java/ J2EE Developer
Dish Network - Englewood, CO
Dish Network is an American direct-broadcast satellite service provider. The company provides satellite television, satellite internet, audio programming, and interactive television services to commercial and residential customers in the United States. The company is headquartered in Meridian, Colorado, though the postal designation of nearby Englewood is used in the corporate mailing address  Responsibilities: • Involved in complete SDLC Designing, Coding, Testing, Debugging and Production Support for the project. • Worked closely with Business Analysts in understanding the technical requirements of project and Developed process flow, data flow and use case interaction diagrams in Microsoft Visio. • Usage of version control repository SVN (Subversion by apache), Mantis to manage the issues/project work flow, Wiki for documentation, Jenkins for nightly build. • Designed and developed the common page layout and created screens by assembling facelets and screen definitions in centralized configuration files. • Designed the application by implementing JSF Framework with Primefaces based on MVC Architecture with EJB, Simple Java Beans as a Model, JSP and JSF UI Components as View and Faces Servlet as a Controller. • Creating views with JSF Framework and Service Layer Classes using Session Beans. • Developed and designed UI Search and results screens using JSF, XHTML and CSS. • Used Prime faces as a JSF extension libraries for rich components such as Accordion, Calendar, Data Table, Panel. • Generating complex reports in PDF as per CMS guidelines, using Jasper soft Studio-5.1.0. • Performed Validations on UI data using JSF validations and JavaScript and XHTML pages. • Configured faces-config.xml and navigation.xml to set all page navigations and created EJB Message Driven Beans to use asynchronous service to perform profile additions. • Developed EJB components that are deployed on WebSphere Application Server. • Fix defects as needed during the QA phase, support QA testing, troubleshoot defects and identify the source of defects. • Involved in design, development & testing of business components using EJB Session beans. • Integrated Spring DAO for data access with mybatis.  Environment: HTML, XHTML, Prime faces 3.2, Java 1.6, J2EE, Spring 2.5, Servlets, JSP, jQuery, Ajax, XML, CSS, JavaScript, DB2, EJB 3.0, ILOG, Adobe Photoshop CS6, Eclipse, Visio, Wireframes and Mockups
"
"12",12,"Java/J2EE Developer
Blue Cross Blue Shield - Richardson, TX
Responsibilities: ➢ Involved in developing the Controller framework using Annotated REST based Spring controller. ➢ Involved in setting up the application Service layer using Spring IOC framework. ➢ Developed the service classes for better data exchange between the MVC layers. ➢ Extensively worked on the Sybase database creating the efficient stored procedures. ➢ Monitoring and tuning SQL Server database performance using SQL Profiler, DMV's, Index Tuning Wizard and Windows Performance Monitor. ➢ Developed JMS components to send messages from one application to other application internally. ➢ Designed and Implemented Unit testing using JUNIT Framework. ➢ Optimized ExtJS themes and prepared performing applications ➢ Used agile methodology and participated in Scrum meetings. ➢ Used JavaScript for client side validation and used OOPS methodology to develop the application. ➢ Developed various helper classes needed following Core Java multi-threaded programming and Collection classes. ➢ Involved in Enhancement of existing application utilizing AngularJS, created HTML navigation menu that is role based wherein menu items changes dynamically based on the values derived from the database in the form of XML. ➢ Extensively used JSON, Web Services for transferring/retrieving data between different Applications. ➢ Involved in developing the web services of the application to provide user information and testing with SOAP UI. ➢ Utilized Adobe Flex, Hibernate and Spring to implement project within JBoss5. ➢ Development of front-end i.e. JSPs and server-side java components i.e. container managed Entity beans, stateless session beans, Action classes, writing unit test cases and unit testing. ➢ Designed and implemented UNIX automation scripts, frequently utilizing KORN and BASH Shell, in cooperation with UNIX Tier III Resolver Group.  Environment: Core Java, Java, J2EE, AJAX, GUI, JSF 2.0, CSS, HTML, JSP, Java, JDBC, Hibernate, Spring 3.2, Web Services (REST), SQL, Maven, Shell Script, Oracle, LINUX, Solaris, MAC
"
"13",13,"Java Developer
AIG
Having 8.6 years of experience in Open Technology (Core Java, J2EE, Struts, Apache Wicket, Servlet, Hibernate, and EJB). ✓ Having 3+ years of experience in ORM (Hibernate 3.0) ✓ Having 2 years of experience in Apache Wicket. ✓ Having 2 year experience to work on Linux platform. ✓ Having 1+ years of experience in Swing technologies ✓ Strong Technical skills in Core Java. ✓ Good Knowledge in SQL/PLSQL. ✓ Good Knowledge in Oracle 10g, Postgresql, sqlserver. ✓ Good Problem solving, Analytical and communication skills. ✓ Ability to learn new technologies faster. ✓ Good Team Member. ✓ Good experience in Insurance Domain & TTH Domain.  Domain Experience: ✓ Good Knowledge in Insurance Domain. ✓ Expert in TTH Domain. Insurance Domain Certification: ✓ Loma Level 1 Certification.  Java Certification: ✓ OCPJP 6 Certification.  Technical Skills: Languages             Java, JavaScript, PL/SQL, HTML,XSLT J2EE Technologies     JDBC, JSP, Servlets, EJB 2.1 IDE                   Eclipse, NeatBeans, Oracle SQL Developer, PgAdmin3.0 Application Servers   Weblogic Server 9.0, 10.3 Frameworks            Struts 1.2 Databases             Oracle 10g/11g Version Control       SVN ORM                   Hibernate 3.0
"
"14",14,"Java Developer
Amerisource Berge - Texas
Description: AmerisourceBergen is driving innovative partnerships with global manufacturers, providers and pharmacies to improve product access and efficiency throughout the healthcare supply chain. As part of the largest global generics purchasing organization, the leading specialty pharmaceutical services provider and the partner with more community and health system pharmacy relationships than any other - we're well positioned to help you capitalize on the dynamic changes in healthcare. From product commercialization and distribution to pharmacy, provider and manufacturer solutions, we're working with you every day to enhance patient care  Responsibilities: • Involved in the various phases of the Scrum technique of Agile Methodology like story pointing, Daily Scrum meeting and End meetings. • Prepared technical design documents including sequence diagrams, flow charts, class diagrams and etc. • Developed user interface using JSP, JavaScript, CSS and HTML5 • Responsible for developing Use cases, Class diagrams for the modules using Microsoft Visio. • Used spring framework for dependency injection with the help of spring Configuration files. • Developed modules that integrate with web services that provide global information support. • Involved in developing new Session Beans and also interacting with existing EJBs. • Application development using java web based technologies such as Servlet, JSP, Java, Web Services (Rest/Soap based), WSDL. • Implemented WSDL to DOM (Domain Object Model) mapper. • Implemented SOAP request Error Handler (Validates SOAP Request Object against WSDL) • Implemented SOA architecture with Web Services using SOAP, WSDL, UDDI, and XML. • Developed the HTTP based web services Client which calls up the existing web services to get the application related data which comes in XML format. • Implemented Hibernate to map all the tables from different data sources to make database updating. • Applied J2EE design patterns like Business Delegate, DAO, and Singleton etc. • Developed various test cases and performed unit testing using JUnit. Environment: Java 1.7, Servlets, JSP, JSTL, JDBC, JavaScript, HTML, CSS, AJAX, XML, Hibernate, spring, SVN, JUnit, Oracle 11g, Quick Build, Eclipse and QC.
"
"15",15,"Embedded software developer
Boston Scientific - Marlborough, MA
Project: Firmware development  Job Responsibilities: • Build system bring up of android smart watch • Designed and developed embedded real-time control system software using C/C++ in Linux (RTOS) environment. • Developed software interfaces and performed unit testing of real-time embedded or application software. • Software requirement review and revision in collaboration with systems engineering. • Developed python scripts for diagnostic purposes. • Supported the software engineering processes including software requirement analysis, implementation, test development and execution, software configuration management tools, project documentation. • Developed and executed unit test plans for software features, applications while adhering to Software Development Process. • Supported the escalations and bug fixes found in the real-time control system software during alpha testing, beta testing of the software. • Optimized code to use minimum memory and maximum throughput of CPU. • Delivered software fixes or patches to different baselines, release versions of the control system software. • Performed technical peer reviews for software and provided assistance to peers troubleshooting difficult problems. Environment: C, GCC, Linux, Python, Android, Clearcase, Git, ClearQuest, Bugzilla
"
"16",16,"Software Engineer in Testing, Framework
team at Motorola
Responsible for Framework Automation test case design ● Design and maintain 200+ automation cases using python script ● Responsible for KPI script using xml tool ● Keep track of issues
"
"17",17,"Senior Software Engineer
TiVo Inc - Maynard, MA
Senior member of the Metadata Service Engineering team. Feature owner for Video-On-Demand Catch-up TV. Designed and developed the VOD Pre-processing rules for Providers content correlation. Picked up Python language very efficiently and have been consistently successful in projects delivery. Technical Environment: Python 2.7, MySQL, Linux OS, Amazon Web Services (AWS), Perforce • Weekly Peer code review using code collab. • Design the complete architecture of the Video-On-Demand Catch-up TV with reviewed and approved Design Requirements Document. • Implement Unit Tests and increase code coverage to 99% as a goal. • Spearheading the development of coding standards and helping incumbents with tech on-boarding. • Implement code using internal API calls associated with TV Program Guide Data. • Work closely with Quality Assurance team to give use cases, and edge cases. • Use Enterprise Architect to generate design documents.
"
"18",18,"Student Manager
Direct Wage
Set up of different types of events on a variety of places around the building of the UTRGV Student Union; Supervise events and students in the workplace; Advance use of audio and video control room; Solve unexpected situations that arise with the clients in a daily matter. SKILLS Fluent Language: English & Spanish Computer Skills: Preventive and corrective maintenance to computers, Office, C++, Assembly Language, HTML, CSS, Javascript, JQuery, AJAX, JSON, MySQL, Python, Java, Complete reformatting of various Windows operating system, knowledge of the Linux environment PROJECTS • 1st place awarded at TAMU Hack Texas Instrument competition
"
"19",19,"QA Engineer
Altisource Labs
Testing and validating REALDoc UI, API's, and databases (MongoDB and Oracle). * Developing scenarios and test cases for UI and API's using JIRA. Creating positive and negative test cases for all possible scenarios. * Validating patch fixes(New features and Bug fixes are working as expected) * Automating test cases using Robot framework. Using Keywords created in Python and Selenium2 library for automation. Create custom keyword using python and Selenium2 library as required. * Testing API's using REST clients and validating results in MongoDB and Oracle database. * Perform manual, functional, smoke, system testing. * Reporting Test results for production releases.
"
"20",20,"Post-doctoral Advisor
Argonne National Laboratory
Dr. Stephen J. Klippenstein Calculation of the pressure-dependent kinetics of combustion relevant reactions through the solution of two-dimensional master equation (2DME). Development of a Python code for the characterization of the effect of anharmonicities on the kinetics of radical-radical association reactions. Investigation of the kinetics of catalysed reactions relevant in atmospheric chemistry. Obtained more than 500k cpu-hours on High-Performance Computing system at the Argonne's Laboratory Computing Resource Center.
"
"21",21,"python/django developer
DjangoStars
2013.04 - for now Django Stars is team of star geeks with expertise in custom web application development with Python / Django, mobile and facebook apps development, geospatial systems (GIS), UI/UX and consulting [python, django, celery, postgresql]
"
"22",22,"Software Developer Engineer
Narra Systems LLC - Santa Clara, CA
Responsibilities Customer Facing, Developer and Test Engineer  Accomplishments -Developed the base TCL API for NFast 2.0 release which is also used for the development of the TCL API for NFast 3.0 release - Developed the PERL API for NFast 2.0 release - Developed the PYTHON API for NFast 2.0 release - Team Member of the Performance Team from April - May 2011 - Started as team member of the Web Development Team from November 2011 and became Technical Lead from January 2012 to mid 2013 - Onsite support for Narra Systems since October 2012 for the US office  Skills Used Perl, TCL, Python, Javascript, JQuery, CSS, Unix
"
"23",23,"Software Engineer
CDI corporation - Orlando, FL
-Developed tools for the Engineering of turbo generator using PySide, NumPy, matplotlib and Python. -Migrated Visual Basic application to JAVA improving portability across different operating systems. -Maintained Engineering legacy tools written in C and FORTRAN. -Worked as part of a distributed team in Charlotte, Orlando, and Germany. -Used CVS and GIT for source control.
"
"24",24,"MIDDLEWARE ARCHTECT/WEB ENGINEER
Paychex Inc - Webster, NY
• Responsible for the design, development & maintenance of the deployment software process for the main Core Advanced Payroll system which comprises of 500+ Linux servers.   This automated process deploys more than 30,000 servers per year without any major issues.   Written with Ant/Shell/Python scripting and using SSH between the deployment servers and the target servers with the configuration stored in a Stash Repository. • Lead the conversion of the deployment server OS upgrade. Completed without incident and reduces the risk of having obsolete infrastructure for the Core Advanced deployment system. • Lead the technical design effort for the Core Advanced JBoss Uplift project from JBoss4.3 to EAP6.4 (JBoss7). Eliminated many technical debts and introduced principles of Continuous Delivery which allows for the developments teams to turn around code changes more frequently and thus provide client features/fixes quicker. • Reduced the manpower required to support the Core Advanced system from 2+ people to less than 1 person. • Offloaded many of the basic Life Cycle jobs for the Web Engineering team to the Data Center team. • Implemented and Configured AppDynamics as the standard monitoring tool for all JVMs corporate-wide. • Performance Tuning of JVMs and setup standards for all applications. • Responsible for designing/writing the mechanism for easily configuring Oracle's Coherence7.1 Caching software. • Implemented a procedure to offload certificates to the F5 LTM and reduced the overhead of maintaining complex certificates. • Lead the upgrade of the SAML certificates for the gateway system and was completed on-time and without incident and coordinated with 10+ vendors. • Save $100K annually by eliminating the need for a 3rd party deployment tool called IBM's BuildForge • Assist the WebEng team with support of Web Servers, LDAP, SiteMinder, WebLogic, JBoss, F5, Layer7, etc.. • Agile Methodology, Git, AppD, Splunk, Confluence wiki, ServiceNow • Development duties as needed in C and Java.
"
"25",25,"Sr. Java Developer
CIM Group- SanFrancisco, CA
Responsibilities:  • Followed Agile Scrum methodology that included iterative application development, weekly Sprints and stand up meetings. • Developed the enterprise application by integrating JSF/Spring/Hibernate Frameworks. • Heavily used the Dependency Injection feature provided by spring framework for bean wiring. • Used Spring framework's JMS support for writing to JMS Queue, Hibernate Dao Support for interfacing with the database and integrated spring with JSF. • Added interactivity to the UI pages using JavaScript. • Used Apache ActiveMQ for  fast, supporting  many Cross Language Clients and Protocols, comes with easy to use Enterprise Integration Patterns and many advanced features • Developed Contract first Web Services using Spring-WS to communicate with Database Tables. • Provided a new Web Service and Client using Spring-WS to get the alternate contractor details. • Created Real-time Reporting systems and dashboards using Adobe Flex, xml, MySQL and Perl • Developed integration services using SOA, MuleESB, Web Services, SOAP, and WSDL • Worked on Restful web services which enforced a stateless client server and support JSON( few changes from SOAP to RESTFUL Technology)  Involved in detailed analysis based on the requirement documents. • Developed and implemented several test cases using JUNIT framework and Integration testing in staging environment. • Expertise in implementing various Object Oriented Design Patterns such as Model View Controller, Front End Controller, Data Access Object, Service Locator, Data Transfer Object, Session Facade and Singleton • Worked with JSR - 286 port let complaints for inter port let communication in Life ray • Made SDLC recommendations and implemented Flex, xml development best practices. • Used Splunk and other log file/system information tools to troubleshoot and debug application issues • Developed user interface using HTML, JSP, CSS and implemented client side validations using JavaScript using AngularJS framework and Bootstrap framework. • Used Java Messaging Services (JMS) for reliable and asynchronous exchange of important information. • Designed all JSP pages using custom designed tags to populate web page content from Content Management Systems (CMS). • Participating development of FIX messages processing engine (Java, FIX Protocol). • Implemented JMS listeners to connect to the Tibco JMS queues for producing and consuming JMS messages. • Developed JSR 168/286 portlet services and utility applications for the Enterprise Portal. • Use of Multithreading and Collections Framework including List, Map etc. • Used Spring-JDBC configuration to manage some transactions across multiple databases. • Designed and developed the service business process and data access to Oracle database and back-end layers with JAXB, JMS and XML. • Implemented and tested features of Mark Logic Server including System Monitoring and Flexible Replication • Developed a web Application Using UI technologies like HTML5, CSS3. • Extensively involved in writing the SQL queries as per the business requirements. • Developed Stateless Session beans and Entity Beans for implementation of the persistence layer. • Used Factory, Singleton, Session Façade, Business Delegate and DAO Patterns. • Used Maven for building the applications EAR for various environments. • Designed, developed JSP, Servlets and deployed them on JBOSS Application Server. • Used Spring ORM Support for Hibernate to manage efficiently Hibernate Resources and consistent exception Hierarchy. • Developing JSR286 portlets and portlet services for Agent facing portal utilizing IBM WebSphere Portal v6.1.5 • Used HTTP for coordinating Internet engineering task force. • Extensively used the Java collections Framework Classes for Holding the Application objects. • Designed and created Hibernate persistence classes using Hibernate API. • Wrote Stored Procedures/Triggers/Functions using SQL Navigator to perform operations on Oracle 10G database. • Built a high performance single threaded server framework using Java NIO. • Developed reporting application in Rails which queries MarkLogic Server to generate Excel reports • Participating development of FIX messages processing engine (Java, FIX Protocol). • Used JUNIT extensively and defined various Test Suites and Test Cases. • Used Log4J to trace the flow of the application. • Deployed application on BEA WebLogic Application Server 9.2 to get efficient performance. • Used Subversion for version control across common source code used by developers.  Environment: JDK 1.6, JSF 1.2, JBoss, Flex, Spring-jdbc 2.5, ESB, Spring-ws-core 1.5, Wsdl4j 1.6.1, SOAP, Jaxb-api 2.1, Jms 1.1 Open Source Frameworks: Spring 2.5, fix, Hibernate 3, Maven 2, Log4J and JUnit 4.4 IDE and Tools: Eclipse 3.4, AngularJS, SQL Navigator Data Bases: Oracle10g, DB2. Version Control / QA tool: Subversion, tortoise SVN, Mercury Quality center Application Server: BEA Weblogic Application Server 9.2
"
"26",26,"Systems Analyst
The Credorax Group - Southborough, MA
Linux/Windows technical support for international financial company. Maintain and monitor high security PCI network using a variety of GPL tools such as Nagios/Ganglia/Wireshark/etc to combat fraud and hack attempts. Use scripting (Perl, Python, Powershell) to automate/integrate servers operations and applications. Member of the Tool & Automation group that develops scripting solutions for our worldwide offices.
"
"27",27,"Senior Technical Lead
S3 Group - Philadelphia, PA
• Worked on MINT project for Rogers Cable using Javascript and Jasmine. • Learned a lot about StormTest, WarningCenter and Python
"
"28",28,"Software Engineer
PageFair Limited - Dublin
Develop and maintain high-load server infrastructure for anti-adblocking solution that servers more than 5 million requests per month. •   Responsible for architecture design, analysis, prototyping and development of different server-side components •   Implemented Scrum in development team and took a role of scrum-master. Technologies: Python, Twisted, Django, Node.js, RabbitMQ, Nagios, Salt, Fabric, Amazon AWS, Jenkins
"
"29",29,"Software WebApps Engineer - Trading Infra
Systems and Analytics Software at TA Partners, LLC
Trading Systems/Web Apps Infra. development, operations, and Trading Analytics software development. Languages: Frameworks: Python: Django, PHP: CakePHP, Javascript: Node.js. Build out retained trading strategy model from concept to interface. Integrate data feeds and execution platforms data streams into analytics platform.
"
"30",30,"Researcher
Columbia University M edical Center, Taub Institute - New York, NY
Construct Microdrive. Arrays for recording neurons, manufactured project apparatuses, and maintained laboratory supplies
"
"31",31,"Senior Test Engineer
Rockwell Automation - Milwaukee, WI
• Executed manual and automated testing of PLC (Programmable Logic Controller) firmware in accordance with approved requirements, and associated test plans. • Converted PLC firmware requirements to python scripts • Implemented fixes in existing python scripts to account for changes in the PLC firmware and functionality. • Submitted anomaly reports for review and verification in ClearQuest. • Recorded test results in ApTest (test result management system). • Collaborated with development team on anomaly fixes and verification.
"
"32",32,"Senior MySQL DBA Percona MySQL
Ubuntu, Python, Nagios
Besides working at               mainly with MySQL, much of the time I spent developing tools in MachineZone.comPython to do things faster, help write nagios plugins, started to work with Graphite and Grafana (moving away from Cacti). Many 2013 to 3/2015     of the plans I wanted to use since I started never got implemented Palo Alto City, CA due to craziness. Percona MySQL Cluster, connection pooling, upgrading everything to 5.6, database usage projections, better integration with monitoring and graphing and automating everything as much as possible. This is going to be key items for me in the future.  Other technologies we had but I didn't get too involved with were Redis, Hadoop, VoltDB.  Environment: Linux, MySQL, Python Senior MySQL and     MariaDB 5.2 and Mongo 2.0.6, Nagios, Ubuntu, Python, BASH. Mongo DBA at       Upgraded MySQL to MariaDB 5.2 on all MySQL installations. Reputation.com     Using Percona InnoDB Cluster on some servers. Moving MySQL and MariaDB towards Percona or MariaDB Innodb Cluster.
"
